Course	Room	Teacher	Time	Students
221	13 - A, 1	44	2	1789 1551 1407 1033 727 678 652 327 1933 1259 1103 245 85 32 1818 1379 1364 1350 1301 1227 1096 319 1829 1624 1319 1240 1178 766 676 575 
234	13 - A, 1	16	6	1944 1844 1776 1774 1723 1553 1502 829 823 594 584 267 232 1328 1089 1056 916 426 1854 1644 1596 1028 1987 1882 1666 1193 852 261 188 
138	13 - A, 1	32	9	1979 1771 1713 1656 1252 993 202 15 1 1908 1886 1398 881 736 683 1914 1863 1738 1667 1482 1170 482 174 110 1668 1426 1400 568 
250	14 - B, 0	3	8	1519 1412 1396 1277 887 657 511 1712 1513 1056 1032 1009 22 1780 1574 1179 812 807 599 567 505 332 1911 1882 1664 1615 1225 1183 1122 877 
110	14 - B, 0	116	5	1755 1412 1275 1265 1205 1182 1169 927 854 703 647 594 1084 808 554 471 1816 879 710 446 427 399 397 1742 1174 990 587 396 289 212 192 
187	14 - B, 0	55	2	1636 1024 1011 934 915 477 391 227 1899 1563 1180 1062 643 554 358 318 121 78 1945 1892 1828 1733 198 115 1787 1708 1622 1504 962 413 149 
185	14 - B, 0	71	3	1947 1516 1378 1281 854 776 593 287 1669 1614 1444 1278 497 69 1769 1650 1556 1393 1131 679 505 124 13 1495 1257 1115 948 537 283 135 91 
183	14 - B, 0	10	4	1729 1589 1500 1353 1335 1325 967 465 398 169 1876 1372 1200 1097 902 901 565 536 281 245 1696 1442 1435 1249 1036 978 950 300 209 473 283 
95	14 - B, 0	54	7	1658 819 618 317 1513 1377 1135 994 969 762 443 1932 1893 1778 1530 1385 1208 1043 872 806 771 770 702 518 194 146 42 918 504 430 214 
106	14 - B, 0	59	6	1968 1762 1077 921 829 823 691 585 316 175 104 99 1106 1103 1026 945 824 513 395 304 1330 1295 1227 815 472 50 1746 430 320 197 48 
60	14 - B, 0	13	1	1684 1565 1293 1262 1126 719 648 610 178 1886 1626 1463 681 673 522 502 347 93 29 1350 1233 1186 1043 800 746 646 620 124 1894 1068 557 12 
11	14 - B, 0	121	0	1911 1757 1720 1639 1471 1467 1434 1317 1303 1286 1273 1228 1193 1068 1067 1014 918 910 888 857 552 528 387 385 343 339 283 254 238 212 48 
243	14 - B, 0	26	9	1547 1044 783 719 453 114 107 1870 1823 1785 1357 561 437 35 1945 1634 1489 1466 1442 1420 1284 1211 998 984 702 638 498 1438 1173 223 
121	16 - A, 1	101	1	1881 1500 1402 1194 996 246 244 232 1929 1864 1805 1586 1492 1401 1202 1176 1138 989 816 677 353 1468 
17	16 - A, 1	27	2	1844 1327 734 164 1926 1867 1409 1337 1155 874 778 762 726 56 1936 1893 1644 566 440 140 128 1751 
238	16 - A, 1	119	3	1995 1551 1502 1033 573 326 1487 1097 1055 900 543 347 35 21 1752 1638 1311 1208 1168 1162 1111 977 
199	16 - A, 1	2	4	1922 1792 1643 1591 1429 1316 1060 924 624 597 340 327 1877 1472 917 837 686 641 628 603 478 1858 
196	16 - A, 1	28	5	1888 1699 1643 1542 769 675 451 359 206 181 83 1823 1821 1371 1088 353 344 292 249 36 1813 1722 
102	16 - A, 1	30	6	1856 1836 1565 1443 803 738 687 216 83 1645 1588 1472 1167 844 672 90 1965 1915 1309 1233 1098 1096 
139	16 - A, 1	38	7	1917 1709 1640 1447 980 787 529 386 244 28 1970 1799 1544 1404 1401 1352 1337 863 633 461 58 1967 
224	16 - A, 1	122	8	1990 1927 1477 1255 1222 1197 1133 1051 983 840 659 457 257 180 123 1728 1535 1392 1209 916 390 55 
3	6 - A, 1	110	0	1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 
167	17 - C, 2	47	8	1977 1694 1527 1310 1231 794 1908 1641 1394 1052 1049 975 911 643 548 437 101 1941 1795 1488 1199 499 247 182 62 1772 1680 631 556 532 360 
241	17 - C, 2	119	7	1996 1691 1516 1515 1501 1407 986 846 708 647 1573 1213 914 524 3 1764 1606 1562 1311 1244 970 706 639 583 488 452 256 140 941 909 842 
126	17 - C, 2	87	1	1993 1800 1570 491 316 295 181 173 77 1838 1610 1196 1073 728 643 372 315 189 1863 1858 1813 1681 1575 1468 826 434 126 124 8 1564 1408 1232 1108 
105	17 - C, 2	85	4	1705 1654 1570 1447 1079 915 689 597 99 89 1056 688 574 7 1932 1788 1333 1102 1043 802 744 656 638 463 235 208 117 1874 525 234 177 152 
104	17 - C, 2	115	5	1975 1630 1514 1355 1041 966 526 367 161 1926 1714 1234 914 661 1662 1330 1215 1098 799 798 712 579 550 382 262 76 1599 1539 954 376 211 187 
64	17 - C, 2	19	6	1779 1774 1771 1413 1092 608 179 1926 1678 1611 1610 1604 1577 1546 1433 1417 1390 1377 1143 775 165 1373 1290 1903 1682 1428 1388 1340 1189 1150 849 187 
16	17 - C, 2	68	2	1948 1592 1516 1277 1241 1184 1017 959 658 250 1919 1885 1753 1646 932 540 308 207 196 18 920 798 484 438 256 209 190 79 1257 1012 684 549 501 
227	17 - C, 2	18	3	1515 1384 1288 1134 1095 782 750 519 514 326 202 114 1847 1707 1075 820 226 196 1863 1769 1350 752 533 298 183 1998 1761 1260 1189 682 468 284 
144	17 - C, 2	105	9	1416 1396 1010 449 359 1919 1528 1472 1160 929 913 617 455 378 122 1898 1427 1379 1360 1322 1153 701 445 431 1903 1773 1066 862 635 333 108 
204	18 - B, 0	7	3	1978 1516 1396 1335 338 181 74 31 1535 1357 1326 1324 1209 668 543 461 1942 1817 1628 1524 1379 1128 939 923 651 288 186 1183 971 965 877 504 294 
92	18 - B, 0	71	8	1723 1447 1198 1023 840 593 585 527 480 456 420 1837 1155 891 808 721 406 242 207 1158 957 711 651 590 266 1682 1436 1434 1423 1302 982 481 
142	18 - B, 0	36	6	1986 1927 1895 1139 861 647 489 451 1910 1852 1703 1665 1508 1437 1386 931 894 604 1333 1322 1163 690 515 433 373 1746 1711 1620 954 930 92 91 
162	18 - B, 0	16	5	1454 1406 1380 1241 1112 627 123 1973 1838 1481 863 844 625 454 241 1687 1634 1466 1363 1186 1159 1137 972 851 1880 1622 1408 1361 1287 801 642 
96	18 - B, 0	53	4	1705 1477 1362 1338 1298 1263 1262 1077 846 769 14 1926 1876 1811 1732 1642 1619 1611 1449 785 538 90 82 1920 1861 1393 1369 1264 707 49 1122 1078 629 
125	18 - B, 0	89	7	1542 1519 1411 1310 1139 398 233 102 1994 1785 1665 1563 1522 1449 1415 500 301 286 265 245 69 1606 1523 1464 818 793 126 25 1743 1708 692 134 
53	18 - B, 0	118	2	1775 1221 1205 1182 732 516 365 77 1498 1449 1243 1138 728 1942 1854 1795 1625 1440 1427 1342 1223 1161 427 364 116 72 933 833 797 475 394 276 234 222 
10	18 - B, 0	99	0	1989 1901 1772 1624 1616 1599 1598 1582 1576 1536 1517 1374 1246 1174 1124 1115 1072 1066 1012 958 933 875 830 804 788 692 684 642 640 575 495 473 413 345 276 223 129 106 81 52 43 20 
83	18 - B, 0	103	1	1943 1801 1502 1411 986 451 422 178 162 1218 1082 919 850 767 602 474 395 1767 1510 1497 1466 1163 771 742 655 215 27 1850 1601 1287 1246 1171 1053 723 
76	18 - B, 0	124	9	1335 1327 1285 1224 1148 1101 1060 685 519 479 227 1859 1809 1415 1253 1144 1119 856 1846 1556 1290 1267 1230 964 800 1980 1622 1410 1242 1037 592 88 
38	19 - B, 0	86	8	1996 1947 1380 803 691 368 1937 1824 1200 1056 844 809 725 429 36 1846 1556 1381 1347 743 620 399 1559 322 229 
65	19 - B, 0	42	7	1895 1549 1493 1051 996 983 868 783 1646 1577 1259 1201 1143 785 21 1788 1759 1637 1451 111 42 9 1668 1467 
